,title,score,author,genre,Story,Url,id
66,세상은 돈과 권력,9.88,한동우 / 이도희,"에피소드, 드라마","재벌 3세가 일반 고등학교에 들어오면서, 선생들과 학생들은 거대 자본에 굴복해 권력을 차지하기 위한 '두뇌싸움'이 난무하는 학교로 바뀐다. 이 학교의 법칙을 부수기 위해 천재 '단건우'가 전학온다.",https://comic.naver.com/webtoon/list?titleId=710747&weekday=wed,710747
67,판타지 여동생!,9.84,유누,"스토리, 판타지","게임 초보 여동생의 RPG 도전기.
트롤 취급은 노노! 제가 사실 엄청난 히든 직업을 갖고 있거든요?",https://comic.naver.com/webtoon/list?titleId=730425&weekday=wed,730425
68,얼굴천재,9.86,지에이,"스토리, 드라마","어느 날 갑자기 게임 캐릭터로 변신하는 능력이 생겼다! 
그 스킬과, 그 모습이 모두 내 것이다.
나는 이제 언제든 ""얼굴천재""가 된다!",https://comic.naver.com/webtoon/list?titleId=735979&weekday=wed,735979
69,하드캐리,9.91,조양,"스토리, 드라마","성격은 소심하지만 게임 실력 하나는 천상계 최고인 '도윤'과
공부, 인성, 외모, 게임 실력 어디 하나 부족한 것 없는 '수호'의 
본격 프로게이머 도전기!",https://comic.naver.com/webtoon/list?titleId=710761&weekday=thu,710761
70,쿠베라,9.96,카레곰,"스토리, 판타지","신의 이름을 가진 소녀 쿠베라 리즈. 15세 생일에 외출에서 돌아오다가 초토화되어버린 마을을 목격하게 되는데..! 신, 수라, 마법사들 사이에서 펼쳐지는 소속불명 장르 혼합 판타지.",https://comic.naver.com/webtoon/list?titleId=131385&weekday=thu,131385
71,트롤트랩,9.93,유비,"스토리, 판타지","트롤을 잡아, 인류를 지켜라!
정체불명 헌터 하태와 알바헌터 지현의 통쾌한 판타지 액션",https://comic.naver.com/webtoon/list?titleId=701700&weekday=thu,701700
72,갓 오브 하이스쿨,9.64,박용제,"스토리, 판타지","전국, 전세계 고등학생 중 가장 쎈 녀석을 뽑는 대회가 열린다.
허구 100% 막장 액션의 끝!! 기대하시라!!!",https://comic.naver.com/webtoon/list?titleId=318995&weekday=fri,318995
73,개를 낳았다,9.93,이선,"스토리, 드라마","사랑스러운 너와의 첫 만남부터 이별까지. 
처음으로 반려견을 키우게 된 다나와 모든것이 처음인 강아지 명동이가 만나 함께 살아가는 이야기. 
강아지 수명 20년. 너와 내가 함께하는 20년 동안 우린 어떤 일을 겪게 될까?",https://comic.naver.com/webtoon/list?titleId=712362&weekday=fri,712362
74,낙향문사전,9.73,바킹독 / 팀 페가수스 / 최현우,"스토리, 무협/사극","온갖 비리가 가득한 과거 시험에 낙방해 좌절한 주인공 손빈. 
자신의 신세를 한탄하는 손빈 앞에 나타난 사자혁은 그에게 자신의 일대기를 기록할 것을 청한다. 
이후 둘은 함께 천하를 주유하게 되는데, 
과연 그의 붓이 써 내려가는 무림 일대기는 어떠한 기록을 남기게 되고, 
무림 세계에 발을 들이게 된 손빈의 운명은 어찌 흘러갈는지……",https://comic.naver.com/webtoon/list?titleId=746534&weekday=fri,746534
75,1초,9.97,시니 / 광운,"스토리, 드라마","구조율 100%의 전설적인 소방관.  
그의 특별한 능력은 긴장하는 순간, 미래가 보인다는 것! 
촌각을 다투는 진짜 소방관들의 이야기",https://comic.naver.com/webtoon/list?titleId=725586&weekday=fri,725586
